Software Engineer II - iOS,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130706
Software Engineer II - Backend - Risk,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129071
Staff Software Engineer - Maps,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131221
Senior Staff Software Engineer - Bets,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131286
Sr Software Engineer - Front end,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127249
Summer Intern - Visual Communication Intern,Capgemini,Portugal,Not Disclosed,Internship,https://www.capgemini.com/careers/join-capgemini/job-search/?keyword=intern
Software Engineer - Delivery Matching,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131563
Senior Software Engineer,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130081
Senior Software Engineer - Mobile Security,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/127397
Sr Software Engineer - Earner,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131507
Staff Software Engineer - Fullstack,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132408
Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128839
Staff Software Engineer - Delivery Matching,Uber,Seattle - Washington,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131565
2024 Software Engineering Internship - Amsterdam,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/125074
Lead Engineer Audio Machine Learning,Google,placeHyderabad Telangana India,Not Disclosed,"Minimum qualifications Bachelors degree in Computer Science Engineering Computer Information Systems Mathematics Physics related field or equivalent practical experience. 5 years of experience in the following: C C++ C# Java JavaScript Objective-C Python HTML CSS Object oriented analysis and design advanced algorithms multi-threading machine learning artificial intelligence data mining APIs natural language processing MapReduce or any other programming languages,https://www.google.com/about/careers/applications/jobs/results/100278653228589766-lead-engineer-audio-machine-learning?q=%20software%20engineer%20
Sr Software Engineer - Stateful Platform,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130387
Sr Software Engineer - Fullstack,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131208
Staff Software Engineer - Fullstack,Uber,Hyderabad - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132408
Test Engineer YouTube,Google,placeBengaluru Karnataka India,Not Disclosed,"Minimum qualifications Bachelor's degree or equivalent practical experience.3 years of experience in coding developing test methodologies writing test plans creating test cases and debugging,https://www.google.com/about/careers/applications/jobs/results/98085246179648198-test-engineer-youtube?q=%20software%20engineer%20
Software Engineer II - Backend - Grocery,Uber,Santiago - Chile,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128778
Senior Staff Software Engineer - Marketplace,Uber,San Francisco - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131468
Staff Software Engineer - Backend,Uber,Aarhus - Denmark,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/128297
Staff Backend Software Engineer,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129213
Program Manager II Software Development Google Photos,Google,placeMountain View CA USA; San Francisco CA USA,Not Disclosed,"Minimum qualificationsBachelor's degree or equivalent practical experience.2 years of experience in program or project management.Experience working on software development projects.,https://www.google.com/about/careers/applications/jobs/results/100144080897352390-program-manager-ii-software-development-google-photos?q=%20software%20engineer%20
Senior Staff Software Engineer - Maps,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132277
Software Engineer II - Android - Ads,Uber,Sao Paulo - Brazil,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131788
Customer Engineer Infrastructure Modernization Google Cloud,Google,placeTel Aviv Israel,Not Disclosed,"Minimum qualifications Bachelor's degree in Computer Science related Software Engineering field or equivalent practical experience.Experience in cloud computing (e.g. infrastructure storage platforms data) cloud market dynamics and customer buying behavior.,https://www.google.com/about/careers/applications/jobs/results/102237880675377862-customer-engineer-infrastructure-modernization-google-cloud?q=%20software%20engineer%20
Senior Software Engineer - Web,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129773
Sr Staff Software Engineer,Uber,Bangalore - India,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129330
Staff Software Engineer - Marketplace Logistics,Uber,Toronto - Canada,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131430
Senior Software Engineer - Privacy Engineering,Uber,Amsterdam - Netherlands,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/130466
Senior Software Engineer - Mobile Security,Uber,Not Mentioned,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/129705
Sr. Software Engineer - Android - Maps,Uber,Sunnyvale - California,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/132342
Software Engineer - Delivery Matching,Uber,New York - New York,Not Disclosed,Not Available,https://www.uber.com/global/en//careers/list/131563
